page,plate,subindustry,company,rev_2q26,rev_2026,rev_yoy_2q26,rev_yoy_2026,np_2q26,np_2026,np_yoy_2q26,np_yoy_2026,beat,logic,row_y
7,电新,mw上江,汇川技术,13261,54000,15%,20%,1810,6000,10%,19%,,工控龙头稳健增长，新能源汽车业务高速增长，机器人构建长期成长空间,0.85692
7,电新,mw上江,信捷电气,660,2650,35%,32%,109,345,35%,36%,,小型PLC龙头，中大型PLC+变频器突破开辟工控成长空间，与华为合作人 形机器人商业化落地,0.88679
7,电新,mw上江,雷赛智能,726,2600,45%,39%,95,350,50%,55%,,based控制器份额领先，拓展PLC+伺服完善运动控制平台化布局，机器人,0.92453
7,电新,mw上江,大洋电机,3233,13500,5%,10%,333,1200,5%,11%,,电机、灵巧手布局领先 全球电机领军企业，看好核心技术多赛道延展与价值重塑,0.95199
7,电新,,伟创电气,638,2400,25%,23%,105,340,25%,29%,,工控出海先锋，机器人布局领先,0.96855
7,电新,,宏发股份,5892,22500,35%,31%,664,2200,20%,25%,,全球继电器龙头，AIDC释放高压直流继电器增长潜力,0.98349
8,电新,,大金重工,1800-2100,8230,15%,33%,450-500,1900,50%,72%,,管桩出口龙头，欧洲海风建设加速，订单及业绩有望加速释放,0.03265
8,电新,风电,海力风电,800-1000,4000,-43%,-14%,60-100,300,-43%,-14%,,管桩头部企业，受益于国内深远海项目加速，出海有望实现突破性进展,0.07012
8,电新,风电,日月股份,1500-1700,6500,-17%,4%,130-140,600,-12%,8%,,铸锻件龙头，受益于国内风电需求维持高位,0.10874
8,电新,风电,东方电缆,3000-3400,12000,40%,11%,380-420,1600,108%,26%,,海缆龙头，受益于国内及欧洲海风建设加速,0.14736
8,电新,风电,金雷股份,740-760,3000,-4%,21%,100-120,450,-13%,43%,,主轴龙头，品类扩张及出海有望加速,0.1748
8,电新,风电,时代新材,5353,23643,5%,10%,164,627,8%,22%,,叶片龙二，超容隔膜打开向上空间,0.19412
8,电新,风电,明阳智能,7200-8000,42000,-19%,10%,260-300,1500,-9%,150%,,海上风机龙头，高价订单进入交付周期，欧洲产能有望实现突破性进展,0.22256
8,电新,风电,三一重能,4500-5500,30000,-22%,10%,260-300,1500,-30%,111%,,风机头部企业，高价订单进入交付周期，海外收入有望实现放量,0.26118
8,电新,风电,金风科技,14000-16000,93000,-21%,27%,750-850,4500,-13%,62%,,风机龙头，高价订单进入交付周期，绿氢氨醇逐步放量,0.29977
8,电新,,运达股份,4700-5700,34000,-24%,16%,50-70,700,-29%,106%,,风机头部企业，高价订单进入交付周期，业绩弹性有望迅速释放,0.33629
8,机械,燃气轮机,应流股份,9 5,39 3,30 0%,34 5%,13,,35 4%,,,燃气轮机需求上行，叶片需求爆发，看好公司叶片全球份额提升,0.49085
8,机械,燃气轮机,杰瑞股份,50 6,214 6,200%,32 3%,8 6,,10 3%,,,出口北美的国产燃机总成龙头，26年新签燃机订单上修至15-20亿美元,0.50915
8,机械,燃气轮机,西子洁能,16 3,738,3 0%,18 2%,09,,0 0%,,,燃机余热锅炉需求上行，看好26年北美余热锅炉订单加速落地,0.52642
8,机械,船舶,中国船舶,500 0,1924 1,＃＃＃＃##,26 6%,35 0,,92 4%,,,造船周期上行，高价船陆续交付，公司盈利能力持续提升,0.54675
8,机械,船舶,中国动力,168 7,680 0,100%,17 7%,70,,42 9%,,,柴油动力量价齐升，燃气轮机出海,0.56606
8,机械,海工,中集集团,420 0,1708 2,4 8%,91%,40,,45 5%,,,海工景气度上行，海工制造、海工租赁业绩高增,0.58435
8,机械,海工,振华重工,95 9,393 2,8 0%,8 4%,20,,124 7%,,,海工租赁日费率提升，海工业绩持续改善,0.60366
8,机械,轨交,中国中车,774 8,3002 8,9 0%,10 0%,46 1,,10 0%,,,铁路装备需求持续上行，公司业绩长期稳健提升,0.62297
8,机械,轨交,三一重工,302,1017,28%,13%,33,,21%,,,工程机械龙头，海外高增长,0.64126
8,机械,工程机械,徐工机械,355,1144,27%,13%,30,,29%,,,矿山机械国产龙头，内外销高增长,0.65955
8,机械,工程机械,中联重科,153,604,20%,16%,16,,20%,,,内销贡献正增量，海外市场高增长,0.67988
8,机械,光模块设备,柳工,108,379,20%,14%,7,,16%,,,26年轻装出发，内外销共振,0.69807
8,机械,光模块设备,联讯仪器,10,44,/,266%,3,,,,,光模块测试仪器龙头，光+存储共舞,0.71646
8,机械,光模块设备,博众精工,20,90,76%,37%,3,,55%,,,光模块设备翘楚，业绩快速增长,0.73679
8,机械,刀具,华锐精密,3 9,170,31%,70%,10,,92%,,,数控刀具龙头，受益钨涨价弹性较强,0.75505
8,机械,刀具,欧科亿,60,26 0,99%,78%,20,,/,,,数控刀具龙头，受益钨涨价弹性较强，加大PCB微钻布局,0.77332
8,机械,机床,纽威数控,88,37 0,24%,28%,0g,,30%,,,机床龙头，受益顺周期复苏+新兴产业爆发,0.79158
8,机械,机床,海天精工,102,38 5,10%,14%,14,,3%,,,机床龙头，受益顺周期复苏+新兴产业爆发,0.81201
8,机械,矿山机械,耐普矿机,3,13,37%,29%,25,,127%,,,矿山机械耗材龙头，行业高景气＋新产品放量前景广阔,0.83028
8,机械,机器人,杰克科技,19,76,20%,15%,62,,11%,,,,0.85061
8,机械,机器人,恒立液压,35,139,27%,27%,90,,11%,,,高端液压件龙头份额不断提升，人形机器人卡位核心环节,0.86789
8,机械,叉车,杭叉集团,51,219,6%,10%,7,,0%,,,叉车国际化推进，布局具身机器人,0.8872
8,机械,叉车,安徽合力,55,218,8%,10%,5,,2%,,,叉车国际化推进，布局具身机器人,0.90752
8,机械,农机,一拖股份,27,122,15%,13%,3,,25%,,,农机出海，内需回升,0.92471
8,机械,X射线检测,日联科技,4,16 5,45%,53%,07,,45%,,,［光模块检测设备+PCB背钻检测设备,0.94309
8,机械,电子大宗气,广钢气体,75,33,30%,37%,18,6,100%,,,两存扩产核心标的，今年大规模中标,0.9624
8,机械,超声检测,骄成超声,24,11 2,35%,45%,07,,100%,,,半导体超扫受益存储扩产,0.98171
9,具身智能,人形机器人,奥比中光,268,1600,10%,72%,40,256,12%,94%,,全球深度相机龙一，破圈3D打印机＋数据采集爆发+Q1机器人收入翻三倍,0.0993
9,具身智能,人形机器人,绿的谐波,250,1000,63%,75%,50,200,52%,61%,V,全球人形机器人谐波减速器龙一，订单持续超预期,0.1239
9,具身智能,人形机器人,三花智控,9625,35353,12%,14%,1363,4713,13%,16%,,T链执行器龙头，拓展传感器、手部丝杠等新业务,0.14148
9,具身智能,人形机器人,拓普集团,7884,33427,10%,13%,788,3168,8%,14%,,T链执行器龙头，液冷+商业航天拓展新增长空间,0.15729
9,具身智能,人形机器人,柯力传感,425,1745,15%,12%,107,388,10%,14%,,传感器森林布局完善，六维力矩传感器出货上千台,0.17311
9,具身智能,人形机器人,宁波华翔,6000,25281,-9%,-6%,360,1589,157%,225%,,北美合资打造机器人供应平台，PEEK全球卡位龙头,0.19069
9,具身智能,人形机器人,银轮股份,4500,18006,20%,20%,270,1140,18%,20%,,热管理平台型龙头，燃发+液冷高成长性，机器人卡位头部客户，主业稳,0.21529
9,具身智能,人形机器人,兆威机电,420,2200,0%,28%,50,340,-15%,28%,,微驱动龙头，机器人微电机＋齿轮箱+灵巧手全面布局,0.23978
9,汽车,乘用车,理梘汽车,24197,122419,-20%,9%,-1202,1714,-210%,52%,,全新换代车型带动销量和盈利全面反转，全面迈向具身智能,0.35586
9,汽车,乘用车,吉利汽车,105930,456142,36%,32%,5467,22661,51%,34%,,出口&高端车型贡献极大利润弹性，全动力车型谱系布局,0.37346
9,汽车,乘用车,小鹏汽车,19600,95500,7%,24%,-1000,-1790,-109%,-57%,,Q2开启强势产品周期，L03上市在即；从智驾领先的主机厂向物理AI公司,0.39723
9,汽车,乘用车,零跑汽车,25502,106453,79%,64%,557,4210,448%,682%,,强势新车周期带动销量持续高增，出口增长提速,0.42267
9,汽车,乘用车,比亚迪,220491,962091,10%,20%,8232,38212,30%,17%,,出口有望延续高增、贡献极大利润弹性，闪充车型带动内销量利底部向上,0.44733
9,汽车,乘用车,长城汽车,59820,260883,14%,17%,4230,12853,-8%,30%,,差异化品类布局带动出口增长提速，中高端新车大年,0.47197
9,汽车,汽零,伯特利,3028,15050,20%,25%,307,1520,22%,16%,,EMB率先量产，收购豫北加速全线控底盘布局,0.4877
9,汽车,汽零,爱柯迪,2130,9150,19%,23%,240,1420,-24%,21%,,铝压铸中小件隐形冠军，出海及新业务加速拓展,0.50536
9,汽车,汽零,继峰股份,6750,27100,23%,19%,180,801,264%,77%,,海外子公司格拉默业绩持续改善，座椅进入业绩兑现期,0.52197
9,汽车,汽零,岱美股份,1680,7370,6%,15%,240,1040,642%,58%,,主业从遮阳板头枕向大内饰布局，开拓机器人第二成长曲线,0.53866
9,汽车,汽零,无锡振华,755,3440,10%,16%,130,530,22%,14%,,冲压件老牌零部件公司，开拓功率半导体电镀第二成长曲线,0.55448
9,汽车,商用车,福田汽车,16500,64000,6%,4%,500,2100,47%,54%,,商用车出海领军企业，重卡高增+轻卡轻客出口高增&区域及燃料结构升级,0.57909
9,汽车,商用车,一汽解放,19500,67000,42%,7%,250,1000,2760%,38%,,重卡出口Q2环比显著增长，探索车用发动机转型发电应用,0.60555
9,汽车,商用车,中国重汽A,20500,62100,55%,8%,450,2200,26%,32%,,重卡龙头，出口高增驱动业绩增长,0.62127
9,汽车,商用车,潍柴动力,64000,245500,15%,6%,3500,14300,19%,31%,,AIDC柴发备电、燃气主电龙头，持续受益于北美缺电,0.63708
9,军工,主机厂,中航成飞,2662,80441,-55%,7%,74,3700,-62%,9%,,,0.75044
9,军工,主机厂,中航沈飞,4694,48954,80%,10%,203,3500,23%,6%,,,0.76714
9,军工,主机厂,中航西飞,5810,42581,-17%,4%,210,1252,-15%,9%,,,0.78383
9,军工,两机,洪都航空,1533,10471,73%,41%,15,100,168%,307%,,,0.80042
9,军工,两机,航发动力,9108,50024,6%,8%,32,608,-20%,-4%,,,0.81634
9,军工,两机,中航重机,3666,11476,15%,13%,113,745,-66%,22%,,,0.83381
9,军工,两机,国博电子,7136,2917,-9%,22%,55,623,-99%,23%,,,0.84886
9,军工,军工电子,振华科技,1383,5976,-8%,4%,97,1116,-73%,9%,,,0.94473
9,军工,军工电子,国睿科技,1897,4050,40%,21%,105,775,2%,23%,,,0.96046
9,军工,军工电子,航天电器,1617,6831,10%,17%,15,386,12%,111%,,,0.97616
10,交运,航运,中远海能,8577,35541,46%,49%,2350,12396,102%,207%,,全球油运龙头，受益于霍尔木兹海峡放开后全球原油成品油补库,0.14966
10,交运,航运,中远海控,52500,225344,3%,3%,6620,24033,13%,-22%,,全球集运龙头，受益于红海、中东局势升级，绕行带来效率损失提价,0.1826
10,交运,航运,中谷物流,2790,11203,1%,6%,430,2086,-19%,4%,,内贸集运龙头，造船价格低，新船型为外贸稀缺船型，租金回报率高,0.22917
10,交运,快递,顺丰控股,80760,336322,5%,,,12196,,,,高端时效网络主导者，构建快递、快运、空运、供应链与国际的全栈物流,0.27574
10,交运,快递,中通快递-W,14120,55654,19%,x0xx6,,,YNXewi,灿xuxu,V,国内通达快递龙头，受益于行业反内卷带来的利润与市占率回升,0.31005
10,交运,快递,南方航空,48940,199622,5%,,,,,,,国内三大航之一，枢纽为广州白云机场，受益于油价回落与国际线增开,0.34436
10,交运,航空,中国国航,46720,192271,10%,12%,,,NA,129%,,国内三大航之一，枢纽为北京首都机场，受益于油价回落与国际线增开,0.38971
10,交运,航空,春秋航空,6470,25310,30%,,,,,,,国内低成本航空龙头，以上海为主枢纽，极致的低成本导致经营优势显著,0.43382
10,交运,机场,吉祥航空,6100,25151,14%,,,,,,,国内民营精品航空公司，以上海为主枢纽，经营成本显著低于三大航，开,0.48164
10,交运,机场,上海机场,3230,14422,2%,X1WzX6xw,,,,X灿Xwx,,上海虹桥+浦东机场，国际旅客占比高，依靠商业带来超额盈利,0.51593
10,交运,机场,白云机场,2050,7781,8%,,,继瞅Qk0叫研形蜒加m4吼啊,,,,广州白云机场，国际旅客超过疫情前，T3投入后产能利用率待提升,0.53919
10,交运,跨境,嘉友国际,2140,9648,20%,,,,,,,主营蒙煤贸易、运输、仓储，第二增长曲线来自非洲的陆港，双轮驱动,0.57108
10,交运,跨境,东航物流,8320,27769,44%,14%,,,,,,东方航空的货运公司，拥有近20架777F，主营欧美长航线，受益于运价提,0.61758
10,交运,公路,中国外运,24160,107013,-10%,11%,,,,,,央企全链路物流，以代理业务稳定现金流，专业物流和电商服务向高附加,0.66419
10,交运,公路,皖通高速,1750,6675,90%,-1%,,,,,,安徽唯一公路现金牛企业，掌控长三角西翼核心网络,0.6973
10,交运,公路,宁沪高速,4730,20366,2%,0%,,,,,,长三角核心路网垄断企业，持有近1000公里长三角核心路产，长期现金流,0.73162
10,交运,公路,招商公路,3620,14135,27%,6%,1190,,,,,中国最长公路央企，掌控超8000公里核心路网，资产集中于高车流量经济,0.77819
10,交运,铁路,京沪高铁,11330,45019,5%,5%,3620,14022,,,,中国唯一上市高铁运营商，以轻资产模式运营核心高铁网络，路网服务贡,0.82467
10,交运,铁路,大秦铁路,21420,81469,10%,5%,,,,,V,亿吨级专线运煤，西煤东运主通道，大秦线运量占比高，服务高度刚性,0.8701
10,交运,港口,唐山港,1540,5929,14%,4%,,,,,,以干散货 核心业务的港口，分红率高,0.90431
10,交运,港口,宏川智慧,330,1478,23%,24%,0HaL晒az,8u毗awwu,3om器Ezo,,,石化仓储龙头，拥有超700万立方米储罐容量，客户粘性与定价权稳固,0.92522
10,交运,危化品,密尔克卫,4030,15223,9%,14%,,,,,,危险品全链条整合者，危化物流合规龙头，70万平方米全国危化仓储网络,0.96078
11,建材新材料,出海,科达制造,5000,20300,13%,17%,700,2600,76%,99%,,,0.09914
11,建材新材料,出海,中国巨石,5600,24000,21%,27%,1760,8500,84%,159%,,,0.11638
11,建材新材料,玻纤,国际复材,2700,11400,18%,32%,380,1850,113%,579%,,,0.1319
11,建材新材料,玻纤,中材科技,9000,35000,15%,16%,664,3200,4%,76%,,,0.14905
11,建材新材料,铜箔,宏和科技,550,2400,81%,113%,260,1200,360%,494%,,,0.16473
11,建材新材料,铜箔,铜冠铜箔,2100,2400,15%,15%,140,1000,364%,1496%,,,0.18017
11,建材新材料,玻璃,耀皮玻璃,1397,6488,3%,15%,60,180,37%,33%,,,0.19741
11,建材新材料,玻璃,旗滨集团,4105,17311,5%,10%,30,300,-93%,-52%,,,0.21282
11,建材新材料,玻璃,三棵树,4054,13780,10%,10%,370,1000,12%,29%,,,0.23005
11,建材新材料,消费建材,兔宝宝,2647,9948,12%,12%,160,1050,-4%,50%,,,0.2457
11,建材新材料,消费建材,悍高集团,1054,4493,28%,25%,211,950,41%,35%,,,0.26207
11,建材新材料,消费建材,东方雨虹,8500,31000,12%,12%,573,1800,54%,1489%,,,0.27845
11,建材新材料,基建,科顺股份,1916,6346,5%,5%,123,350,1805%,扭亏为盈,,,0.29569
11,建材新材料,基建,青龙管业,847,3942,30%,50%,60,250,218%,93%,,,0.31121
11,建材新材料,其他新材料,石英股份,326,1350,25%,34%,70,340,29%,122%,,,0.32672
11,建材新材料,其他新材料,麦加芯彩,475,1880,2%,10%,63,240,5%,14%,,,0.34388
11,公用事业,火电,华能国际,n.a,n.a,n.a,n.a,25.0~30.0,130,-42%~-30%,-10%,,全国性火电龙头，受益电量电价传导改善、容量电价提升和市场化交易增 收，盈利稳定性增强推动公用事业化重估。,0.48103
11,公用事业,火电,华电国际,n.a,n.a,n.a,n.a,12.0~15.0,58,-37%~-22%,-4%,,常规能源核心平台，气电及煤电容量收益贡献较高，容量电价稳定长期收 益，分红提升支撑价值重估。,0.525
11,公用事业,火电,申能股份,n.a,n.a,n.a,n.a,8.3~8.8,36,-22%~-17%,-10%,,上海负荷中心综合能源平台，火电红利属性突出，气电、新能源和投资收 益共同支撑稳健分红。,0.56983
11,公用事业,火电,皖能电力,n.a,n.a,n.a,n.a,4.0~4.5,18,-37%~-29%,-16%,,安徽省级能源平台，火电基本盘稳固、新能源提速扩张，明确分红规划增 强中长期股东回报确定性。,0.61207
11,公用事业,火电,浙能电力,n.a,n.a,n.a,n.a,14.0~17.0,60,-43%~-30%,-20%,,浙江负荷中心火电龙头，机组区位价值高，参股核电贡献稳定收益，分红 能力具备持续提升空间。,0.65517
11,公用事业,水电,长江电力,n.a,n.a,n.a,n.a,85.0~90.0,350,8%~14%,1%,,全球大水电龙头，综合电价和现金流稳健，2026-2030 年高分红规划强化红利资产配置价值。,0.70172
11,公用事业,水电,国投电力,n.a,n.a,n.a,n.a,14.5~15.0,75,-16%~-13%,1%,,雅著江水电贡献核心利润，水风光一体化基地打开成长空间，兼具优质水 电现金流和新能源扩张弹性。,0.74914
11,公用事业,水电,华能水电,n.a,n.a,n.a,n.a,30.0~32.0,92,-3%~3%,8%,,澜沧江流域水电平台，流域梯级调度能力强，分红稳定增长，具备长期水 电红利配置价值。,0.79307
11,公用事业,绿电,川投能源,n.a,n.a,n.a,n.a,6.0~6.5,53,-39%~-34%,11%,,核心看雅砻江水电投资收益释放，来水改善及流域水风光一体化开发带来 长期成长空间。,0.83707
11,公用事业,绿电,龙源电力,n.a,n.a,n.a,n.a,11.0~13.0,50,-25%~-12%,10%,,风电龙头聚焦新能源主业，装机扩张、绿电绿证交易和补贴回款改善共同 支撑现金流修复。,0.88276
11,公用事业,核电,中国核电,n.a,n.a,n.a,n.a,16.0~18.0,85,-37%~-29%,-9%,,核电主业发电量增长和新机组投运支撑业绩，新能源短期承压但核电资产 稳定性和分红能力突出。,0.92586
11,公用事业,核电,中国广核,n.a,n.a,n.a,n.a,31.0~32.0,103,6%~9%,5%,,核电运营龙头，电价机制逐步稳定盈利预期，新机组投产和高分红属性支 撑防御配置价值。,0.96724
12,有色金属,铜,紫金矿业,107 990,431 962,22%,24%,20 000,85 000,52%,64%,,锂金铜量增明确，充分受益高价，资产全球布局,0.11686
12,有色金属,铜,洛阳钼业,68 000,275 000,39%,33%,8 500,33 000,80%,62%,,铜钴放量确定性强，TFM/KFM盈利贡献持续兑现,0.13646
12,有色金属,铜,金诚信,3 650,14 600,4%,5%,750,3 000,9%,28%,,矿服现金流托底，自有资源项目逐步放量，矿服龙头向资源平台转型逻辑,0.1583
12,有色金属,电解铝,中国铝业,63397,259443,5%,8%,5278,19201,49%,51%,,分红率仅37%，提升潜力大,0.17795
12,有色金属,电解铝,云铝股份,16368,63960,10%,7%,3643,13343,49%,120%,,绿电铝标的，成本较高，氧化铝敞口小，资产负债表优异，分红提升潜力,0.1976
12,有色金属,电解铝,天山铝业,8757,33585,18%,14%,2297,8777,124%,82%,,26-,0.21834
12,有色金属,能源金属,神火股份,12800,49502,18%,20%,2420,8970,102%,124%,,电解铝成本曲线左侧产能，氧化铝敞口小，煤炭业务或已度过最差时刻,0.23799
12,有色金属,能源金属,腾远钴业,2300,12500,11%,50%,400,1600,18%,44%,,钻业务具备较大弹性，铜业务产能扩张，利润基本盘稳增,0.25659
12,有色金属,能源金属,中稀有色,1 500,7 000,28%,20%,150,800,500%,525%,,氧化镝、氧化错钕价格均有望显著上涨；加工费均显著上涨；公司钨矿项,0.27836
12,有色金属,小金属,北方稀土,15 326,68 100,39%,33%,900,5 000,80%,122%,,氧化镨钕价格有望继续上行,0.29913
12,有色金属,小金属,华锡有色,1 800,7 500,17%,29%,270,1 400,20%,75%,,锡价格上行；广西关键金属矿权整合持续推进,0.31987
12,有色金属,小金属,金钼股份,4 780,17 250,30%,25%,1 150,5 500,63%,74%,,钼价新高可期：公司布局关键钼粉领域，有望得到估值提升,0.33843
12,石油石化,石油,中国海油,1217,4371,21%,10%,471,1457,43%,19%,,受益于美伊冲突及海峡封锁带来的油价上行,0.4737
12,石油石化,油服,中海油服,110,525,-12%,4%,9,42,-16%,10%,,海上钻井行业景气度持续上行,0.49454
12,石油石化,炼化,荣盛石化,853,3413,16%,11%,15,60,10614%,608%,,受冲突影响PTA、PX价差扩大，海外成品油利润突增,0.5131
12,石油石化,化纤,华峰化学,76,302,31%,25%,7,27,46%,45%,,行业供给出清，产品价格提升,0.53384
12,化工,精细化工,万华化学,60000,240700,25%,18%,5000,19000,38%,36%,,全球聚氨酯龙头，聚氨酯主业受地缘冲突盈利能力增强、石化+新材料（P OE/VA/MS等）持续延伸,0.69662
12,化工,精细化工,新化股份,850,3463,19%,18%,80,318,4%,22%,,脂肪胺主业盈利逆势提升、香料宁夏基地放量减亏，叠加电子级异内醇、,0.73581
12,化工,汽车零部件,赛轮轮胎,10551,44213,15%,20%,950,4013,20%,14%,,全球产能布局最大的中国轮胎龙头，越南/柬埔寨/印尼/墨西哥/埃及多基 地放量推动产销持续创新高,0.77729
12,化工,汽车零部件,森麒麟,2300,10020,11%,16%,184,1012,-41%,-10%,,摩洛哥1200万条工厂2026年进入投产放量、深耕高端化，欧盟反倾销终裁 税率显著下调利好出口,0.81892
12,化工,煤化工,华鲁恒升,12517,45769,57%,48%,1350,4900,57%,48%,,煤化工低成本龙头企业，兼具反内卷和未来碳中和逻辑，四季度新增产能,0.85917
12,化工,煤化工,宝丰能源,20198,59252,68%,23%,5500,14000,68%,23%,,煤制烯烃龙头，低成本优势，二季度业绩放量,0.88974
12,化工,农化,亚钾国际,2505,9870,91%,85%,900,3100,91%,85%,,新产能爬坡，业绩放量，盈利维持高位,0.91057
12,化工,农化,扬农股份,4000,11870,37%,14%,450,1400,21%,8%,,农药一体化龙头，葫芦岛一期全面投产贡献增量、二期推进中，新机理杀,0.93996
12,化工,电子陶瓷,国瓷材料,1415,5728,20%,25%,235,763,20%,25%,,mlcc粉高端放量，氧化锆涨价预期，低空经济，球硅小品量试用,0.97051
13,商贸零售,黄金珠宝,中国中免,12500,58991,11%,10%,1000,4987,65%,39%,,4月DFS大中华区并表增厚利润，机场渠道调改持续推进,0.09867
13,商贸零售,黄金珠宝,豫园股份,10847,36557,5%,1%,11,-666,0%,-86%,,黄金珠宝同店修复，地产拖累逐步出清,0.11349
13,商贸零售,黄金珠宝,老铺黄金,n.a,,n.a,58%,n.a,8565,n.a,76%,,门店点位优化同店高增持续，涨价后市场接受度好于预期，带动毛利率修 复,0.13682
13,商贸零售,黄金珠宝,潮宏基,1961,,6%,9%,168,732,18%,79%,V,毛利率提升或带动利润端超预期,0.1601
13,商贸零售,黄金珠宝,安克创新,8660,,26%,28%,622,3178,19%,25%,V,储能高增持续，下半年低基数，业绩逐季向上,0.17663
13,商贸零售,跨境电商,小商品城,5917,,30%,18%,1074,5057,21%,20%,,市场业务选位费逐步计提收入，AI及支付业务高增持续，进口业务政策有 望催化,0.19983
13,商贸零售,跨境电商,致欧科技,2435,,25%,26%,100,502,0 26,50%,V,消费降级受益，北美地区拓市场、拓大件产品，叠加亚马逊SC转VC带动毛 利率提升,0.23134
13,商贸零售,茶饮,古茗,n.a,,n.a,27%,n.a,3300,n.a,6%,,拓店持续推进，新SKU早餐与咖啡对冲补贴退坡压力，全年同店有望企稳,0.37241
13,商贸零售,茶饮,蜜雪集团,n.a,,n.a,10%,n.a,6500,n.a,12%,,平价茶饮龙头地位巩固，供应链优势持续释放,0.39552
13,商贸零售,酒店,锦江酒店,3700,,3%,4%,410,1189,22%,28%,,提质改革逐步见效，增长有望快于行业,0.41211
13,商贸零售,酒店,首旅酒店,1952,,3%,4%,288,925,13%,14%,,受益RevPAR企稳、轻资产标准管理店扩张和中高端占比提升，经营质量 持续改善,0.43532
13,纺服美护,运动户外,安踏体育,,85834,低单,7%,,14132,,4%,,品宣&运营能力a凸显,0.55307
13,纺服美护,运动户外,李宁,,32558,低单,10%,,3229,,10%,V,产品与组织架构调整顺利，全年业绩优于预期,0.56799
13,纺服美护,运动户外,特步国际,,14859,低单,5%,,1413,,3%,,,0.58285
13,纺服美护,运动户外,滔搏,,,高单下降,-2%,,1286,,0%,,,0.60695
13,纺服美护,运动户外,浙江自然,788,,15%,20%,157,211,8%,10%,,,0.63095
13,纺服美护,男装/女装,扬州金泉,545,,10%,10%,66,111,0%,2%,,,0.64594
13,纺服美护,男装/女装,报喜鸟,2462,,3%,7%,203,359,3%,5%,,,0.66254
13,纺服美护,男装/女装,比音勒芬,2314,,10%,10%,497,661,20%,20%,,,0.67745
13,纺服美护,男装/女装,森马服饰,6641,,8%,8%,471,1026,45%,15%,,,0.69403
13,纺服美护,男装/女装,海澜之家,12144,,5%,5%,1659,2274,5%,5%,,顺应消费降级趋势商业转型拓展创新市区奥莱业态，同时分红水平较高,0.71559
13,纺服美护,家纺,罗莱生活,2247,,3%,6%,223,598,20%,15%,,,0.74046
13,纺服美护,家纺,水星家纺,1940,,1%,6%,162,456,15%,12%,,,0.75616
13,纺服美护,家纺,稳健医疗,5826,,10%,10%,556,868,13%,13%,,,0.77114
13,纺服美护,中游代工,华利集团,12661,,0%,2%,1504,3207,-10%,0%,,,0.78693
13,纺服美护,中游代工,申洲国际,,,,4%,,5825,,0%,,26年订单预计双位数增长，出口链中估值低位,0.80348
13,纺服美护,中游代工,伟星股份,2571,,10%,8%,388,651,5%,1%,,,0.81841
13,纺服美护,中游代工,开润股份,2622,,8%,8%,215,381,15%,15%,,减持提前终止资金面压力释放，印尼工厂净利率提升且26年收入有望环比 提速,0.84163
13,纺服美护,中游代工,新澳股份,3193,6063,25%,20%,352,624,30%,30%,,毛价上行有望带动利润弹性持续释放,0.86567
13,纺服美护,纺织原材料,台华新材,3282,7048,,10%,,,,,,,0.9743
14,纺服美护,美容护理,毛戈平,,6857,,32%,,1635,,35%,,高端国货具备稀缺性，抖音渠道持续放量,0.08173
14,纺服美护,美容护理,上美股份,,10710,,27%,,1326,,37%,,,0.10459
14,纺服美护,美容护理,巨子生物,,6205,,12%,,2096,,9%,,低基数下新品驱动拐点，医美开启第二增长曲线,0.1262
14,纺服美护,美容护理,若羽臣,1267,5706,70%,67%,97,372,116%,92%,,保健品开始盈利，高端家清持续高增,0.14782
14,纺服美护,美容护理,珀菜雅,3 243,11286,8%,7%,433,1558,6%,4%,,,0.17198
14,纺服美护,美容护理,贝泰妮,1 565,6027,10%,10%,273,591,25%,25%,,,0.19357
14,纺服美护,医美,上海家化,2 041,7027,15%,11%,75,386,55%,53%,,,0.21517
14,纺服美护,医美,丸美生物,1 175,4946,28%,28%,52,598,31%,31%,,,0.23798
14,纺服美护,医美,锦波生物,561,2102,14%,14%,257,1045,15%,15%,,,0.26082
14,纺服美护,医美,乐普医疗,1 796,7792,10%,21%,344,1285,10%,23%,,,0.28255
14,食品饮料,白酒,贵州茅台,40047,178949,1%,4%,18370,83268,-1%,1%,,超高端白酒需求具备结构性景气＋市场化改革推进更好匹配供需,0.44952
14,食品饮料,白酒,五粮液,8351,53314,30%,32%,2505,17869,1107%,100%,,,0.47242
14,食品饮料,白酒,山西汾酒,6325,34527,-15%,-11%,1486,10049,-20%,-18%,,,0.49402
14,食品饮料,白酒,泸州老窖,6391,23694,-10%,-8%,2456,9875,-20%,-9%,,,0.51562
14,食品饮料,白酒,洋河股份,3729,16551,0%,-14%,777,2760,10%,25%,,,0.53846
14,食品饮料,白酒,古井贡酒,4024,17164,-15%,-9%,1065,3697,-20%,4%,,,0.5614
14,食品饮料,白酒,今世缘,1944,10015,5%,-2%,614,2486,5%,-5%,,,0.583
14,食品饮料,白酒,迎驾贡酒,1169,6400,5%,6%,326,2101,8%,6%,,,0.60457
14,食品饮料,白酒,舍得酒业,1125,4410,0%,0%,97,239,0%,7%,,,0.62861
14,食品饮料,白酒,水井坊,593,3257,10%,7%,30,570,-135%,40%,,,0.65021
14,食品饮料,调味品,金徽酒,664,2962,2%,1%,64,329,0%,-7%,,,0.67198
14,食品饮料,调味品,海天味业,7468,30991,8%,7%,1900,7878,11%,12%,,,0.69471
